"Colony","Wave","Study","Yard","Treatment","Inoculated","Alive","SSMites","AWMites","CCMites","ABees","CBrood","HStores"
"TO113",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO113",2,"TO","Amy","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO113",3,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",4,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",5,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",6,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",7,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",8,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",9,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",10,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",11,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",12,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",13,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",14,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",15,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",16,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO113",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",2,"TO","Amy","HV","No",TRUE,4,NA,NA,NA,NA,NA
"TO114",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",4,"TO","Amy","HV","No",TRUE,4,NA,NA,12.05,5.15,5.75
"TO114",5,"TO","Amy","HV","No",TRUE,12,NA,NA,NA,NA,NA
"TO114",6,"TO","Amy","HV","No",TRUE,NA,NA,7,7.6,4.3,16.55
"TO114",7,"TO","Amy","HV","No",TRUE,NA,11,NA,NA,NA,NA
"TO114",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",12,"TO","Amy","HV","No",TRUE,NA,NA,0,NA,NA,NA
"TO114",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO114",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO114",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO115",2,"TO","Amy","HV","No",TRUE,0,NA,NA,NA,NA,NA
"TO115",3,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",4,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",5,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",6,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",7,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",8,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",9,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",10,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",11,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",12,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",13,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",14,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",15,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",16,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO115",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",2,"TO","Amy","HV","No",TRUE,3,NA,NA,NA,NA,NA
"TO116",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",4,"TO","Amy","HV","No",TRUE,3,NA,NA,10,5.45,3.75
"TO116",5,"TO","Amy","HV","No",TRUE,11,NA,NA,NA,NA,NA
"TO116",6,"TO","Amy","HV","No",TRUE,18,NA,0,10.55,5.55,5.15
"TO116",7,"TO","Amy","HV","No",TRUE,NA,25,NA,NA,NA,NA
"TO116",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",12,"TO","Amy","HV","No",TRUE,NA,NA,4,NA,NA,NA
"TO116",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO116",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO116",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",2,"TO","Amy","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO117",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",4,"TO","Amy","HV","No",TRUE,1,NA,NA,9.6,4,3.4
"TO117",5,"TO","Amy","HV","No",TRUE,13,NA,NA,NA,NA,NA
"TO117",6,"TO","Amy","HV","No",TRUE,19,NA,0,7.15,3.05,7.75
"TO117",7,"TO","Amy","HV","No",TRUE,NA,13,NA,NA,NA,NA
"TO117",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",12,"TO","Amy","HV","No",TRUE,NA,NA,0,NA,NA,NA
"TO117",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO117",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO117",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",2,"TO","Amy","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO118",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",4,"TO","Amy","HV","No",TRUE,0,NA,NA,12.9,6.5,0.7
"TO118",5,"TO","Amy","HV","No",TRUE,9,NA,NA,NA,NA,NA
"TO118",6,"TO","Amy","HV","No",TRUE,8,NA,0,11.45,5.55,0.95
"TO118",7,"TO","Amy","HV","No",TRUE,NA,4,NA,NA,NA,NA
"TO118",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",12,"TO","Amy","HV","No",TRUE,NA,NA,3,NA,NA,NA
"TO118",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO118",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO118",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",2,"TO","Amy","HV","No",TRUE,3,NA,NA,NA,NA,NA
"TO119",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",4,"TO","Amy","HV","No",TRUE,2,NA,NA,10.5,5.3,0.3
"TO119",5,"TO","Amy","HV","No",TRUE,11,NA,NA,NA,NA,NA
"TO119",6,"TO","Amy","HV","No",TRUE,11,NA,3,15.1,5.7,0.3
"TO119",7,"TO","Amy","HV","No",TRUE,NA,24,NA,NA,NA,NA
"TO119",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",12,"TO","Amy","HV","No",TRUE,NA,NA,3,NA,NA,NA
"TO119",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO119",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO119",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO120",2,"TO","Amy","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO120",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO120",4,"TO","Amy","HV","No",FALSE,0,NA,NA,0.35,0.1,0
"TO120",5,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",6,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",7,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",8,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",9,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",10,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",11,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",12,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",13,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",14,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",15,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",16,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",17,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO120",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
